,companyId,salary,skillLables
48693,49579,11.5,['内容运营']
48694,49579,22.5,[]
48695,49579,15.0,[]
48696,49579,4.0,[]
48697,49579,22.5,"['产品设计', '交互设计', '产品策划']"
48698,49579,22.5,['人工智能']
48699,49579,20.0,['内容运营']
48700,49579,18.0,['人力资源']
48701,49579,20.0,"['产品策划', '产品设计']"
48702,49579,20.0,"['产品运营', '活动策划', '用户运营']"
48703,49579,20.0,"['产品策划', '需求分析']"
48704,49579,12.5,"['app测试', '功能测试', '软件测试']"
48705,49579,45.0,"['后端', '网络优化']"
48706,49579,22.5,"['产品策划', '用户研究']"
48707,49579,20.0,[]
48708,49579,30.0,"['算法', '数据挖掘', '数据分析']"
48709,49579,20.0,[]
48710,49579,12.5,"['人力资源', '招聘']"
48711,49579,17.5,[]
48712,49579,22.5,"['HR', '人力资源']"
48713,49579,22.5,"['产品策划', '用户研究']"
48714,49579,11.5,"['内容运营', '效果跟踪', '数据分析']"
48715,49579,30.0,"['公关（PR）', '策划']"
48716,49579,5.0,[]
48717,49579,17.5,['数据分析']
48718,49579,22.5,"['ETL', '数据挖掘', '数据分析', '数据库开发']"
48719,49579,7.5,[]
48720,49579,6.5,"['内容运营', '数据分析']"
48721,49579,20.0,"['APP推广', 'ASO', 'SEO']"
48722,49579,15.0,['产品运营']
48723,49579,15.0,"['市场推广', '代理商', '市场拓展', '市场分析']"
48724,49579,19.5,"['公司业务', '经营分析']"
48725,49579,27.5,['服务器端']
48726,49579,22.5,['风控']
48727,49579,30.0,['风控']
48728,49579,20.0,['产品策划']
48729,49579,20.0,"['产品策划', '需求分析']"
48730,49579,20.0,[]
48731,49579,20.0,[]
48732,49579,10.5,[]
48733,49579,23.0,[]
48734,49579,4.5,['HR']
48735,49579,20.0,"['Web前端', 'webGL', 'Node.js']"
48736,49579,22.5,"['移动端', 'Swift', 'OC']"
48737,49579,15.0,"['审核', '品控', '质检']"
48738,49579,30.0,"['产品设计', '产品策划']"
48739,49579,45.0,['人工智能']
48740,49579,5.0,"['HR', '招聘', '人事']"
48741,49579,5.0,"['HR', '人事', '人力资源']"
48742,49579,12.5,[]
48743,49579,7.0,[]
48744,49579,4.5,['HR']
48745,49579,6.0,"['审核', '内容审核', '内容']"
48746,49579,27.0,"['品牌管理', '品牌规划', '品牌传播/推广']"
48747,49579,15.0,[]
48748,49579,30.0,"['运营', 'SEM']"
48749,49579,5.5,['内容审核']
48750,49579,13.0,['美术设计']
48751,49579,20.0,"['活动策划', '用户']"
48752,49579,5.0,['HR']
48753,49579,18.0,"['社区运营', '用户运营']"
48754,49579,20.0,[]
48755,49579,8.5,[]
48756,49579,27.0,[]
48757,49579,7.5,[]
48758,49579,5.0,['客服']
48759,49579,5.5,[]
48760,49579,12.5,['活动策划']
48761,49579,23.0,"['移动端', 'IOS', 'Android', 'SDK']"
48762,49579,22.5,[]
48763,49579,15.0,[]
48764,49579,7.5,"['售后支持', '销售']"
48765,49579,20.0,[]
48766,23291,5.5,[]
48767,23291,4.5,[]
48768,23291,40.0,"['用户研究', '移动产品/APP', '商业产品', '产品策划']"
48769,23291,12.5,[]
48770,23291,22.5,['移动产品/APP']
48771,23291,22.5,"['产品设计', '用户研究', '商业产品', '电商']"
48772,23291,11.5,['项目管理']
48773,23291,22.5,['用户']
48774,23291,20.0,"['产品设计', '视频']"
48775,23291,22.5,['KA']
48776,23291,15.0,"['代理商', '移民']"
48777,23291,20.0,"['品牌规划', '品牌传播/推广', '广告创意']"
48778,23291,22.5,"['活动策划', '用户运营', '社区运营', '策略运营']"
48779,23291,17.5,['公关（PR）']
48780,23291,32.5,['Web前端']
48781,23291,15.0,"['平面', '广告', '创意']"
48782,23291,20.0,"['市场', '整合营销', '互动营销']"
48783,23291,22.5,"['文案', '创意']"
48784,23291,15.0,['用户']
48785,23291,15.0,[]
48786,23291,22.5,[]
48787,23291,20.0,"['Hive', 'MySQL']"
48788,23291,9.0,[]
48789,23291,20.0,"['大客户销售', '广告销售']"
48790,23291,37.5,['物理协议']
48791,23291,30.0,"['移动端', '测试开发', '白盒测试', '自动化测试']"
48792,23291,17.5,"['客户代表', '代理商', '大客户销售']"
48793,23291,6.0,[]
48794,23291,9.0,['摄像']
48795,23291,22.5,"['Motiongraphics', '渲染']"
48796,23291,8.0,['手绘']
48797,23291,22.5,"['摄像', '后期', '特效']"
48798,23291,23.5,['App设计']
48799,23291,19.5,"['O2O', '产品设计', '需求分析', '用户研究']"
48800,23291,20.0,"['手绘', '摄像', '后期']"
48801,23291,30.0,"['移动产品/APP', '产品策划']"
48802,23291,19.5,"['视频', '后期', '特效']"
48803,23291,11.5,"['app测试', '自动化测试', '性能测试']"
48804,23291,22.5,"['产品设计', '产品策划', '移动产品/APP']"
48805,23291,24.0,"['产品设计', '用户研究', '数据分析', '商业产品']"
48806,23291,22.5,"['运营管理', 'app', '用户']"
48807,23291,18.0,"['数据分析', '用户']"
48808,23291,12.5,"['商务渠道', '广告销售', '销售顾问', '商务拓展']"
48809,23291,25.0,"['Android测试', 'IOS测试']"
48810,23291,12.0,[]
48811,23291,37.5,"['Hadoop', 'Java']"
48812,23291,22.5,"['产品设计', '产品策划']"
48813,23291,37.5,['社交/SNS']
48814,23291,15.0,[]
48815,23291,30.0,['用户研究']
48816,23291,22.5,"['Hadoop', 'Hive', 'MySQL', 'Java']"
48817,23291,37.5,"['深度学习', '搜索']"
48818,23291,37.5,"['算法', '搜索']"
48819,23291,37.5,"['算法', '数据挖掘']"
48820,23291,21.0,"['MySQL', '数据处理']"
48821,23291,11.5,"['特效', '视频']"
48822,23291,15.0,['视觉']
48823,23291,8.0,['手绘']
48824,23291,12.5,['UI']
48825,23291,17.0,"['UI', '动画']"
48826,23291,25.0,"['内容', '运营管理']"
48827,23291,14.0,[]
48828,23291,18.5,['产品策划']
48829,23291,8.0,[]
48830,23291,24.0,[]
48831,23291,15.0,['平面']
48832,23291,11.5,[]
48833,23291,22.5,"['Scala', 'Hadoop', 'Java']"
48834,392904,6.0,[]
48835,392904,6.0,"['包装', '广告', '美工']"
48836,392904,7.0,[]
48837,535369,10.0,"['广告', '创意']"
48838,302192,7.5,['商务拓展']
48839,302192,7.5,"['3D', '场景']"
48840,302192,9.0,"['手绘', '场景']"
48841,302192,7.0,[]
48842,302192,7.5,"['视觉', '广告']"
48843,23291,30.0,"['人工智能', '图像处理']"
48844,23291,18.0,"['机器学习', '深度学习', '算法']"
48845,23291,9.0,"['数据分析', '数据处理']"
48846,23291,18.0,"['机器学习', '深度学习', '计算机视觉', '图像处理']"
48847,23291,21.0,"['MySQL', 'MongoDB']"
48848,23291,16.5,[]
48849,99957,6.0,"['后勤保障', '前台']"
48850,99957,7.0,"['客户代表', '商务拓展', '商务渠道']"
48851,99957,9.0,['HR']
48852,99957,12.0,"['电话销售', '大客户销售']"
48853,99957,18.0,"['app', '运营管理']"
48854,23291,27.5,"['Hadoop', '算法', '数据挖掘', 'Hive']"
48855,23291,27.5,"['Hive', '数据仓库', 'Hadoop', '数据挖掘']"
48856,23291,30.0,['数据分析']
48857,23291,30.0,"['Hadoop', '数据库']"
48858,23291,27.5,"['推荐', '视频', '数据']"
48859,23291,30.0,"['Hadoop', 'Java']"
48860,23291,30.0,['建模']
48861,23291,7.0,[]
48862,23291,9.0,['审计']
48863,23291,4.0,[]
48864,14229,9.0,"['客户代表', '销售顾问', '广告销售']"
48865,14229,7.5,['电话销售']
48866,14229,7.5,['电话销售']
48867,14229,9.0,"['销售顾问', '电话销售']"
48868,14229,10.0,[]
48869,14229,8.0,"['客户代表', '软件销售']"
48870,14229,11.0,"['部门管理', '领导力', '团队建设']"
48871,14229,10.5,"['地推', '市场拓展']"
48872,14229,6.5,['软件销售']
48873,14229,10.0,['KA']
48874,14229,8.0,"['客户代表', 'KA']"
48875,14229,7.5,"['销售顾问', '软件销售']"
48876,14229,6.5,['团购']
48877,14229,12.5,[]
48878,14229,11.5,[]
48879,14229,20.0,[]
48880,14229,9.0,[]
48881,14229,32.5,"['策划', '文案', '创意']"
48882,14229,11.5,[]
48883,14229,20.0,"['资信评估', '风险评估']"
48884,14229,11.0,['微信运营']
48885,14229,8.5,"['绩效考核', '薪酬福利', '培训']"
48886,14229,11.5,"['市场', '渠道', '互动营销', '策划']"
48887,14229,10.5,['地推']
48888,14229,9.0,['视觉']
48889,14229,4.5,[]
48890,14229,7.5,['人事']
48891,14229,14.0,['培训']
48892,14229,13.0,['人事']
48893,14229,12.5,[]
48894,14229,10.5,"['移动端', 'HTML']"
48895,14229,14.5,[]
48896,14229,7.5,[]
48897,14229,8.5,['广告销售']
48898,14229,20.0,"['内容', '运营管理', '用户', '团队建设']"
48899,14229,12.0,[]
48900,14229,20.0,"['产品设计', '项目管理']"
48901,14229,11.5,[]
48902,14229,15.0,[]
48903,14229,5.5,[]
48904,14229,12.0,"['市场拓展', '地推']"
48905,14229,24.0,['产品设计']
48906,14229,10.5,['BD']
48907,14229,4.5,"['IT支持', 'Helpdesk']"
48908,14229,15.0,[]
48909,14229,11.5,['电话销售']
48910,14229,11.5,['电话销售']
48911,14229,19.0,[]
48912,14229,1.5,"['会计', '分析']"
48913,14229,27.5,"['大客户销售', 'BD']"
48914,14229,6.0,[]
48915,14229,17.5,['合规']
48916,14229,7.5,['电话销售']
48917,14229,12.0,[]
48918,14229,12.0,['商务渠道']
48919,14229,37.5,['BD']
48920,14229,6.5,"['文秘', '文员']"
48921,14229,11.5,"['市场拓展', '电话销售']"
48922,14229,6.0,"['客服', '售后']"
48923,14229,7.5,['运营']
48924,14229,12.0,"['渠道', '销售']"
48925,14229,16.0,"['产品设计', '项目管理', '数据分析']"
48926,14229,5.0,['财务']
48927,14229,9.0,['商务渠道']
48928,14229,7.5,['人事']
48929,14229,10.5,"['地推', '商务拓展']"
48930,14229,19.0,['信息安全']
48931,14229,6.0,"['审核', '质检']"
48932,14229,6.0,['销售顾问']
48933,14229,15.5,"['记者', '内容']"
48934,14229,11.5,"['律师', '合规']"
48935,14229,26.5,[]
48936,14229,3.5,[]
48937,14229,8.0,['市场']
48938,14229,20.0,[]
48939,14229,6.0,[]
48940,14229,9.0,"['数据分析', '营销策划', '活动策划', '市场策划']"
48941,14229,9.0,"['市场策划', '营销策划', '微信运营']"
48942,14229,20.0,[]
48943,14229,15.0,"['产品设计', '产品策划']"
48944,14229,30.0,[]
48945,14229,5.5,[]
48946,14229,19.0,"['产品策划', '用户研究', '产品设计']"
48947,14229,12.0,"['市场拓展', '地推', '大客户销售', '广告销售']"
48948,14229,10.0,"['HR', '薪酬福利', '员工关系']"
48949,14229,7.5,['商家运营']
48950,14229,27.5,[]
48951,14229,6.0,['人事']
48952,14229,15.0,[]
48953,14229,9.0,['商务拓展']
48954,14229,15.0,['产品运营']
48955,14229,12.5,"['后端', 'ERP']"
48956,14229,11.5,"['网站运营', '商家运营']"
48957,14229,5.0,"['出纳', '会计']"
48958,14229,11.5,[]
48959,14229,13.5,"['行业分析', '营销策划']"
48960,14229,14.0,"['公关（PR）', '品牌']"
48961,14229,10.5,"['客户代表', '地推']"
48962,14229,9.0,['运营']
48963,14229,6.0,[]
48964,14229,17.5,[]
48965,14229,9.0,['内容运营']
48966,14229,9.0,['市场拓展']
48967,14229,8.0,['项目管理']
48968,14229,16.0,[]
48969,14229,10.0,['CAD制图']
48970,14229,8.0,[]
48971,14229,5.5,['广告销售']
48972,14229,7.5,[]
48973,14229,13.5,[]
48974,14229,5.0,['售前']
48975,14229,15.0,"['产品设计', '产品策划']"
48976,14229,4.5,[]
48977,14229,9.0,"['部门管理', '市场管理']"
48978,14229,15.0,[]
48979,14229,15.0,['交互']
48980,14229,11.5,[]
48981,14229,9.0,['人事']
48982,14229,12.0,[]
48983,14229,9.5,['数据分析']
48984,14229,12.5,"['分析', '会计']"
48985,14229,20.0,['后端']
48986,14229,9.0,[]
48987,14229,8.0,['电商运营']
48988,14229,5.5,"['平面', '广告', '品牌']"
48989,14229,5.0,['售后']
48990,14229,10.0,"['电话销售', '广告销售', '销售顾问']"
48991,14229,15.0,"['产品设计', '需求分析', '用户研究']"
48992,14229,26.5,['分布式']
48993,14229,6.0,"['地推', '客户代表', '零售']"
48994,14229,7.0,[]
48995,14229,19.0,['项目管理']
48996,14229,7.0,['渠道']
48997,14229,11.5,[]
48998,14229,8.0,['团购']
48999,14229,22.5,[]
49000,14229,5.0,"['运维', '安全']"
49001,14229,14.0,"['自动化', '功能测试']"
49002,14229,27.5,['后端']
49003,14229,6.0,[]
49004,14229,12.5,[]
49005,14229,2.5,"['HR', '员工关系']"
49006,14229,7.0,"['审核', '品控', '信息']"
49007,14229,9.0,[]
49008,14229,12.0,[]
49009,14229,5.0,['行政']
49010,14229,8.0,['投放']
49011,14229,9.0,[]
49012,14229,6.5,['文秘']
49013,14229,15.0,"['策划', '内容']"
49014,14229,7.5,['薪酬福利']
49015,14229,20.0,"['后端', '服务器端']"
49016,14229,32.5,[]
49017,14229,32.5,['用户']
49018,14229,9.5,"['KA', '市场']"
49019,14229,10.0,"['记者', '内容']"
49020,14229,22.5,['数据挖掘']
49021,14229,15.0,"['销售', '客户代表', 'KA', '团购']"
49022,14229,3.5,"['内容审核', '内容', '信息', '审核']"
49023,14229,10.5,['运营']
